Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Comments,Taxonomic Order
1782,MUSW,Mute Swan,9C,Cygne tuberculé,Cygnus olor,,,31
1790,WHOS,Whooper Swan,9,Cygne chanteur,Cygnus cygnus,,,35
1800,WHSW,Whistling Swan,9,Cygne siffleur,Cygnus columbianus columbianus,,,33
1801,BESW,Bewick's Swan,9,Cygne de Bewick,Cygnus columbianus bewickii,,,34
1810,TRUS,Trumpeter Swan,"9C, 9",Cygne trompette,Cygnus buccinator,,,32
1820,AMFL,American Flamingo,"8, 8A",Flamant des Caraïbes,Phoenicopterus ruber,,,103
1830,ROSP,Roseate Spoonbill,7B,Spatule rosée,Platalea ajaja,,,237
1840,WHIB,White Ibis,"6, 7A",Ibis blanc,Eudocimus albus,,,231
1850,SCIB,Scarlet Ibis,6,Ibis rouge,Eudocimus ruber,,,232
1860,GLIB,Glossy Ibis,6,Ibis falcinelle,Plegadis falcinellus,,,233
1870,WFIB,White-faced Ibis,6,Ibis à face blanche,Plegadis chihi,,,234
1871,HYIB,Hybrid Ibis,"6, 7A",Hybride d’Ibis,,,,235
1872,UNIB,Unidentified Ibis,"6, 7A",Ibis non identifié,,,,236
1880,WOST,Wood Stork,8,Tantale d'Amérique,Mycteria americana,Y,,193
1900,AMBI,American Bittern,M: 7A,Butor d'Amérique,Botaurus lentiginosus,,,216
,,,F: 6,,,,,
1910,LEBI,Least Bittern,4,Petit Blongios,Botaurus exilis,Manitoba,"Genus name change, AOS 65th Supplement (2024)",218
,,,,,,New Brunswick,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Québec,,
1911,YEBI,Yellow Bittern,4,Blongios de Chine,Botaurus sinensis,,"Genus change, AOS 65th Supplement (2024)",217
1920,GWHE,Great White Heron,8,Grand Héron blanc,Ardea herodias occidentalis,,,219
1940,GBHE,Great Blue Heron,"7B, 8",Grand Héron,Ardea herodias,,,220
1960,GREG,Great Egret,"7B, 7A, 7",Grande Aigrette,Ardea alba,,,221
1969,PRHE,Pacific Reef Heron,7A,Aigrette à gorge blanche,Egretta sacra,,,222
1970,SNEG,Snowy Egret,6,Aigrette neigeuse,Egretta thula,,,223
1980,REEG,Reddish Egret,7A,Aigrette roussâtre,Egretta rufescens,,,226
1990,TRHE,Tricolored Heron,6,Aigrette tricolore,Egretta tricolor,,,225
2000,LBHE,Little Blue Heron,6,Aigrette bleue,Egretta caerulea,,,224
2001,WECE,Western Cattle Egret,6,Héron garde-boeufs,Aredea ibis,,"From Cattle Egret split, AOS 65th Supplement (2024)",227
2010,GRHE,Green Heron,"5, 5A, 6",Héron vert,Butorides virescens,,,228
2020,BCNH,Black-crowned Night Heron,"7A, 7",Bihoreau gris,Nycticorax nycticorax,,,229
2030,YCNH,Yellow-crowned Night Heron,"7A, 7",Bihoreau violacé,Nyctanassa violacea,,,230
2040,WHCR,Whooping Crane,"9, 9V",Grue blanche,Grus americana,Y,,297
2060,SACR,Sandhill Crane,"8, 8A, 9",Grue du Canada,Antigone canadensis,,,294
2061,MSCR,Mississippi Sandhill Crane,"8, 8A",Grue du Canada (Mississippi),Antigone canadensis pulla,Y,,295
2070,LIMP,Limpkin,"7A, 6",Courlan brun,Aramus guarauna,,,293
2080,KIRA,King Rail,5,Râle élégant,Rallus elegans,Ontario,,281
2110,CLRA,Clapper Rail,"5, 4A",Râle gris,Rallus crepitans,,,280
2111,CRRA,California Ridgway's Rail,5,Râle de Californie,Rallus obsoletus obsoletus,Y,,277
2112,LFRR,Light-footed Ridgway's Rail,5,Râle de Californie,Rallus obsoletus levipes,Y,,278
2113,YRRA,Yuma Ridgway's Rail,5,,Rallus obsoletus yumanensis,Y,,279
2120,VIRA,Virginia Rail,"2, 3, 2A",Râle de Virginie,Rallus limicola,,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,282
2131,YBCR,Yellow-breasted Crake,"3, 2",Marouette à sourcils blancs,Hapalocrex flaviventer,,,284
2140,SORA,Sora,"2, 2A, 3",Marouette de Caroline,Porzana carolina,,Band above the intertarsal joint only (size 2). | Bague uniquement au-dessus de l'articulation intertarsienne (taille 2).,283
2150,YERA,Yellow Rail,"2, 1D",Râle jaune,Coturnicops noveboracensis,,,271
2160,BLRA,Black Rail,"1D, 1A, 2",Râle noir,Laterallus jamaicensis,,,272
2161,BBRA,Buff-banded Rail,4,Râle tiklin,Gallirallus philippensis,,,275
2162,GURA,Guam Rail,4,Râle de Guam,Gallirallus owstoni,Y,,276
2163,EBRA,Eastern Black Rail,"1D, 1A, 2",Râle noir este,Laterallus jamaicensis jamaicensis,Y,see: https://www.fws.gov/southeast/pdf/guidelines/banding-conditions-for-eastern-black-rail.pdf | voir: https://www.fws.gov/southeast/pdf/guidelines/banding-conditions-for-eastern-black-rail.pdf,273
2164,CBRA,California Black Rail,"1D, 1A, 2",Râle noir de Californie,Laterallus jamaicensis coturniculus,,,274
2180,PUGA,Purple Gallinule,"4, 4A, 5",Talève violacée,Porphyrio martinicus,,,286
2181,PUSW,Purple Swamphen,6,Talève sultan,Porphyrio porphyrio,,,285
2190,COGA,Common Gallinule,"5A, 6, 5",Gallinule d’Amérique,Gallinula galeata,,,287
2191,HAGA,Hawaiian Gallinule,"5, 6",Gallinule d’Amérique forme d'Hawaï,Gallinula galeata sandvicensis,Y,,288
2192,MCMO,Mariana Common Moorhen,"5, 6",Gallinule poule-d'eau,Gallinula chloropus guami,Y,,289
2201,HACO,Hawaiian Coot,"6, 5A, 5",Foulque des Hawaï,Fulica alai,Y,,290
2210,AMCO,American Coot,"6, 5A, 5",Foulque d'Amérique,Fulica americana,,,291
2211,CARC,Caribbean Coot,6,Foulque à cachet blanc,Fulica caribaea,,,292
2220,REPH,Red Phalarope,1A,Phalarope à bec large,Phalaropus fulicarius,,,375
2230,RNPH,Red-necked Phalarope,1B,Phalarope à bec étroit,Phalaropus lobatus,,,374
2240,WIPH,Wilson's Phalarope,"1D, 1A, 2",Phalarope de Wilson,Phalaropus tricolor,,,373
2250,AMAV,American Avocet,"4, 4A",Avocette d'Amérique,Recurvirostra americana,,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,300
2260,BNST,Black-necked Stilt,"3A, 4, 4A",Échasse d'Amérique,Himantopus mexicanus,,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,298
2261,HAST,Hawaiian Stilt,"4, 4A",Échasse des Hawaï,Himantopus mexicanus knudseni,Y,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,299
2262,BWST,Black-winged Stilt,4,,Himantopus himantopus,,,296
2270,EUWO,Eurasian Woodcock,3,Bécasse des bois,Scolopax rusticola,,,371
2280,AMWO,American Woodcock,3,Bécasse d'Amérique,Scolopax minor,,,372
2290,COSN,Common Snipe,"3, 3B",Bécassine des marais,Gallinago gallinago,,"This is the Eurasian species, not Wilson's Snipe. | Il s'agit de l'espèce eurasienne, et non de la Bécassine de Wilson.",367
2300,WISN,Wilson's Snipe,"3, 3B, 3A, 2",Bécassine de Wilson,Gallinago delicata,,,368
2301,PTSN,Pin-tailed Snipe,3,Bécassine à queue pointue,Gallinago stenura,,,369
2302,SWSN,Swinhoe's Snipe,3,Bécassine de Swinhoe,Gallinago megala,,,370
2310,SBDO,Short-billed Dowitcher,"2, 2A",Bécassin roux,Limnodromus griseus,,,365
2320,LBDO,Long-billed Dowitcher,"2, 2A",Bécassin à long bec,Limnodromus scolopaceus,,,366
2330,STSA,Stilt Sandpiper,"1A, 1D",Bécasseau à échasses,Calidris himantopus,,,348
2340,REKN,Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus,British Columbia,,343
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
2341,RRKN,Rufa Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus rufa,Y,,344
2350,PUSA,Purple Sandpiper,"1A, 1D, 2",Bécasseau violet,Calidris maritima,,,356
2360,ROSA,Rock Sandpiper,"2, 1D",Bécasseau des Aléoutiennes,Calidris ptilocnemis,,,355
2380,SHAS,Sharp-tailed Sandpiper,"1A, 1D",Bécasseau à queue pointue,Calidris acuminata,,,347
2390,PESA,Pectoral Sandpiper,"1A, 1D, 2",Bécasseau à poitrine cendrée,Calidris melanotos,,,362
2400,WRSA,White-rumped Sandpiper,"1A, 1B",Bécasseau à croupion blanc,Calidris fuscicollis,,,360
2410,BASA,Baird's Sandpiper,"1B, 1A",Bécasseau de Baird,Calidris bairdii,,,357
2411,LIST,Little Stint,"1, 1B, 1C",Bécasseau minute,Calidris minuta,,,358
2420,LESA,Least Sandpiper,"1, 1B, 1C",Bécasseau minuscule,Calidris minutilla,,,359
2422,RNST,Red-necked Stint,"1, 1B, 1C",Bécasseau à col roux,Calidris ruficollis,,,352
2423,LTST,Long-toed Stint,"1, 1B",Bécasseau à longs doigts,Calidris subminuta,,,350
2430,DUNL,Dunlin,"1A, 1B, 1D",Bécasseau variable,Calidris alpina,,,354
2440,CUSA,Curlew Sandpiper,1A,Bécasseau cocorli,Calidris ferruginea,,,349
2450,SPOS,Spoon-billed Sandpiper,1A,Bécasseau spatule,Calidris pygmea,,,351
2460,SESA,Semipalmated Sandpiper,"1B, 1",Bécasseau semipalmé,Calidris pusilla,,,363
2470,WESA,Western Sandpiper,"1B, 1",Bécasseau d'Alaska,Calidris mauri,,,364
2480,SAND,Sanderling,"1A, 1D",Bécasseau sanderling,Calidris alba,,,353
2490,MAGO,Marbled Godwit,4,Barge marbrée,Limosa fedoa,,,340
2500,BARG,Bar-tailed Godwit,M: 4,Barge rousse,Limosa lapponica,,,339
,,,F: 4A,,,,,
2510,HUGO,Hudsonian Godwit,3A,Barge hudsonienne,Limosa haemastica,,,338
2520,BLAG,Black-tailed Godwit,4,Barge à queue noire,Limosa limosa,,,337
2532,CGRE,Common Greenshank,"3, 3B, 3A",Chevalier aboyeur,Tringa nebularia,,,327
2540,GRYE,Greater Yellowlegs,"3, 3B",Grand Chevalier,Tringa melanoleuca,,,328
2550,LEYE,Lesser Yellowlegs,"2, 2A",Petit Chevalier,Tringa flavipes,,,330
2560,SOSA,Solitary Sandpiper,"1A, 1D, 2",Chevalier solitaire,Tringa solitaria,,,324
2561,WOSA,Wood Sandpiper,"3, 2, 1D, 1A",Chevalier sylvain,Tringa glareola,,,332
2562,MASA,Marsh Sandpiper,"3, 2, 1D",Chevalier stagnatile,Tringa stagnatilis,,,331
2580,WILL,Willet,"4, 4A, 3A",Chevalier semipalmé,Tringa semipalmata,,,329
2590,WATA,Wandering Tattler,"3, 2, 2A",Chevalier errant,Tringa incana,,,326
2591,GTTA,Gray-tailed Tattler,"3, 2, 2A",Chevalier de Sibérie,Tringa brevipes,,,325
2600,RUFF,Ruff,"3, 2A",Combattant varié,Calidris pugnax,,,346
2610,UPSA,Upland Sandpiper,"3, 2A",Maubèche des champs,Bartramia longicauda,,,333
2620,BBSA,Buff-breasted Sandpiper,1A,Bécasseau roussâtre,Calidris subruficollis,,,361
2630,SPSA,Spotted Sandpiper,"1B, 1A",Chevalier grivelé,Actitis macularius,,,323
2631,COSA,Common Sandpiper,"1B, 1A",Chevalier guignette,Actitis hypoleucos,,,322
2640,LBCU,Long-billed Curlew,"5, 4A, 5A",Courlis à long bec,Numenius americanus,,Use size 6 if banding on tibiotarsus | Utilisez taille 6 si bague est placée sur le tibiotarse.,336
2650,WHIM,Whimbrel,"4, 4A",Courlis corlieu,Numenius phaeopus,,,334
2680,BTCU,Bristle-thighed Curlew,"4A, 5",Courlis d'Alaska,Numenius tahitiensis,,,335
2690,NOLA,Northern Lapwing,5,Vanneau huppé,Vanellus vanellus,,,303
2691,EUDO,Eurasian Dotterel,"1B, 1A",Pluvier guignard,Eudromias morinellus,,"Genus name change, AOS 65th Supplement (2024)",318
2700,BBPL,Black-bellied Plover,"3, 3B, 3A",Pluvier argenté,Pluvialis squatarola,,,304
2710,EUGP,European Golden-Plover,"2, 3",Pluvier doré,Pluvialis apricaria,,,305
2720,AMGP,American Golden-Plover,"3, 2A, 2",Pluvier bronzé,Pluvialis dominica,,AOU split from 2729-LEGP in 1993. | AOU l’a séparé de 2729-LEGP en 1993.,306
2721,PAGP,Pacific Golden-Plover,"3, 2A, 2",Pluvier fauve,Pluvialis fulva,,AOU split from 2729-LEGP in 1993. | AOU l’a séparé de 2729-LEGP en 1993.,307
2729,LEGP,Lesser Golden-Plover,"3, 2A, 2",Pluvier bronzé,,,"Includes Pluvialis dominica and P. fulva, prior to split in 1993. | Comprend Pluvialis dominica et P. fulva, avant leur séparation en 1993.",308
2730,KILL,Killdeer,"2, 2A, 1D",Pluvier kildir,Charadrius vociferus,,,316
2740,SEPL,Semipalmated Plover,"1A, 1B, 1D",Pluvier semipalmé,Charadrius semipalmatus,,,314
2750,CRPL,Common Ringed Plover,"1A, 1B",Pluvier grand-gravelot,Charadrius hiaticula,,,313
2770,PIPL,Piping Plover,"1A, 1B",Pluvier siffleur,Charadrius melodus,Y,,315
2780,SNPL,Snowy Plover,1P,Pluvier neigeux,Anarhynchus nivosus,,"Genus name change, AOS 65th Supplement (2024)",310
2781,WSPL,Western Snowy Plover,1P,,Anarhynchus nivosus nivosus,Y,"Endangered western populations (coastal CA, OR, WA). | Populations à l'ouest menacées (CA, OR, WA). Genus name change, AOS 65th Supplement (2024)",311
2790,SISP,Siberian Sand-Plover,3,Pluvier de Mongolie,Anarhynchus mongolus,,,309
2800,WIPL,Wilson's Plover,"1D, 1A, 2",Pluvier de Wilson,Anarhynchus wilsonia,,"Genus name change, AOS 65th Supplement (2024)",312
2810,MOPL,Mountain Plover,"2, 3",Pluvier montagnard,Anarhynchus montanus,Alberta,"Genus name change, AOS 65th Supplement (2024)",317
,,,,,,Saskatchewan,,
2820,SURF,Surfbird,"2A, 3, 2",Bécasseau du ressac,Calidris virgata,,,345
2830,RUTU,Ruddy Turnstone,"2A, 2, 3",Tournepierre à collier,Arenaria interpres,,,341
2840,BLTU,Black Turnstone,"2A, 2",Tournepierre noir,Arenaria melanocephala,,,342
2860,AMOY,American Oystercatcher,"5A, 5, 6",Huîtrier d'Amérique,Haematopus palliatus,,,301
2870,BLOY,Black Oystercatcher,"5, 5A",Huîtrier de Bachman,Haematopus bachmani,,,302
2880,NOJA,Northern Jacana,3A,Jacana du Mexique,Jacana spinosa,,,321
3120,BTPI,Band-tailed Pigeon,"5, 5A",Pigeon à queue barrée,Patagioenas fasciata,,,475
3121,PLPI,Plain Pigeon,5,Pigeon simple,Patagioenas inornata,Y,,473
3122,PRPP,Puerto Rican Plain Pigeon,5,,Patagioenas inornata wetmorei,Y,Endangered subspecies in Puerto Rico. | Sous-espèce menacée à Porto Rico.,474
3130,RBPI,Red-billed Pigeon,5,Pigeon à bec rouge,Patagioenas flavirostris,,,472
3140,WCPI,White-crowned Pigeon,"4, 4A",Pigeon à couronne blanche,Patagioenas leucocephala,,Require 4 or 4A short. | Nécessite 4 ou 4A courte.,471
3141,SNPI,Scaly-naped Pigeon,5,Pigeon à cou rouge,Patagioenas squamosa,,,470
3151,SPDO,Spotted Dove,"3A, 4",Tourterelle tigrine,Streptopelia chinensis,,Require 4 short. | Nécessite 4 courte.,479
3152,AFCD,African Collared-Dove,"4, 4A",Tourterelle rieuse,Streptopelia roseogrisea,,,477
3153,ZEBD,Zebra Dove,"3, 2",Géopélie zébrée,Geopelia striata,,,480
3154,WTGD,White-throated Ground Dove,"4, 3A",Gallicolombe pampusane,Pampusana xanthonura,,,485
3155,MAFD,Mariana Fruit Dove,"3A, 3B",Ptilope des Mariannes,Ptilinopus roseicapilla,,,489
3158,PHTD,Philippine Turtle-Dove,"4, 3A",Tourterelle des Philippines,Streptopelia bitorquata,,,476
3159,ECDO,Eurasian Collared-Dove,"4A, 4",Tourterelle turque,Streptopelia decaocto,,Require 4 or 4A short. | Nécessite 4 ou 4A courte.,478
3160,MODO,Mourning Dove,"3A, 3B",Tourterelle triste,Zenaida macroura,,,498
3161,EADO,Eared Dove,3A,Tourterelle oreillarde,Zenaida auriculata,,,497
3170,ZEND,Zenaida Dove,"4, 3A",Tourterelle à queue carrée,Zenaida aurita,,,496
3180,WTDO,White-tipped Dove,"3A, 4, 3B",Colombe de Verreaux,Leptotila verreauxi,,,493
3181,CADO,Caribbean Dove,3A,Colombe de la Jamaïque,Leptotila jamaicensis,,,494
3190,WWDO,White-winged Dove,"4, 3A",Tourterelle à ailes blanches,Zenaida asiatica,,,495
3200,COGD,Common Ground Dove,"2, 1D",Colombe à queue noire,Columbina passerina,,,482
3201,RUGD,Ruddy Ground Dove,2,Colombe rousse,Columbina talpacoti,,,483
3210,INDO,Inca Dove,"2, 3",Colombe inca,Columbina inca,,,481
3220,KWQD,Key West Quail-Dove,"3A, 4",Colombe à joues blanches,Geotrygon chrysia,,,491
3221,RUQD,Ruddy Quail-Dove,"3A, 4, 3B",Colombe rouviolette,Geotrygon montana,,,484
3222,BRQD,Bridled Quail-Dove,"3A, 4",Colombe à croissants,Geotrygon mystacea,,,492
3240,CALC,California Condor,8V,Condor de Californie,Gymnogyps californianus,Y,"Cannot band with metal bands--request “air” bands for reporting wing-tagged birds. | Interdit de baguer avec des bagues métalliques - demander des bagues ""numéros seulement"" pour signaler les oiseaux avec des étiquettes alaires.",240
3250,TUVU,Turkey Vulture,8V,Urubu à tête rouge,Cathartes aura,,"Cannot band with metal bands--request “air” bands for reporting wing-tagged birds. | Interdit de baguer avec des bagues métalliques - demander des bagues ""numéros seulement"" pour signaler les oiseaux avec des étiquettes alaires.",239
3260,BLVU,Black Vulture,8V,Urubu noir,Coragyps atratus,,"Cannot band with metal bands--request “air” bands for reporting wing-tagged birds. | Interdit de baguer avec des bagues métalliques - demander des bagues ""numéros seulement"" pour signaler les oiseaux avec des étiquettes alaires.",238
3270,STKI,Swallow-tailed Kite,6,Milan à queue fourchue,Elanoides forficatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,243
3271,HBKI,Hook-billed Kite,"6, 7A",Milan bec-en-croc,Chondrohierax uncinatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,242
3280,WTKI,White-tailed Kite,"6, 5",Élanion à queue blanche,Elanus leucurus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,244
3290,MIKI,Mississippi Kite,5,Milan du Mississippi,Ictinia mississippiensis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,246
3300,SNKI,Snail Kite,6,Milan des marais,Rostrhamus sociabilis,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,245
3310,NOHA,Northern Harrier,"M: 4, 4A",Busard Saint-Martin,Circus hudsonius,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,248
,,,"F: 5, 5A, 6",,,,,
3320,SSHA,Sharp-shinned Hawk,"M: 2, 3",Épervier brun,Accipiter striatus,,,249
,,,"F: 3B, 3A, 3",,,,,
3321,PSSH,Puerto Rican Sharp-shinned Hawk,"M: 2, 3",Épervier brun (venator),Accipiter striatus venator,Y,,250
,,,"F: 3, 3B",,,,,
3330,COHA,Cooper's Hawk,"M: 4, 4A, 5",Épervier de Cooper,Accipiter cooperii,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,251
,,,"F: 5, 6, 4A, 5A",,,,,
3340,AGOS,American Goshawk,"M: 6, 7A",Autour d’Amérique,,British Columbia,Lock-on bands recommended. | Bagues enclenchantes recommandées.,252
,,,"F: 7A, 7B",,,,,
3350,HRSH,Harris's Hawk,"7A, 7B, 6",Buse de Harris,Parabuteo unicinctus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,255
3370,RTHA,Red-tailed Hawk,"7B, 7D, 7A",Buse à queue rousse,Buteo jamaicensis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,266
3380,HRLH,Harlan's Hawk,"7B, 7A, 7D",Buse de Harlan,Buteo jamaicensis harlani,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,267
3390,RSHA,Red-shouldered Hawk,"6, 5, 7A",Buse à épaulettes,Buteo lineatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,257
3400,ZTHA,Zone-tailed Hawk,"7A, 6",Buse à queue barrée,Buteo albonotatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,264
3410,WTHA,White-tailed Hawk,"7A, 7B",Buse à queue blanche,Geranoaetus albicaudatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,263
3420,SWHA,Swainson's Hawk,"M: 7A, 6",Buse de Swainson,Buteo swainsoni,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,262
,,,"F: 7A, 7B",,,,,
3430,BWHA,Broad-winged Hawk,"M: 5, 5A, 6",Petite Buse,Buteo platypterus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,258
,,,"F: 5A, 6",,,,,
3431,ROHA,Roadside Hawk,5,Buse à gros bec,Rupornis magnirostris,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,256
3432,PBWH,Puerto Rican Broad-winged Hawk,6,Petite Buse (Porto Rico),Buteo platypterus brunnescens,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,259
3440,STHA,Short-tailed Hawk,6,Buse à queue courte,Buteo brachyurus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,261
3441,HWHA,Hawaiian Hawk,"6, 7A",Buse d'Hawaï,Buteo solitarius,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,265
3450,CBHA,Common Black Hawk,"7A, 6",Buse noire,Buteogallus anthracinus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,254
3460,GRHA,Gray Hawk,"6, 7A",Buse cendrée,Buteo plagiatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,260
3470,RLHA,Rough-legged Hawk,"M: 7A, 7B, 6",Buse pattue,Buteo lagopus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,269
,,,"F: 7B, 7A, 7D",,,,,
3480,FEHA,Ferruginous Hawk,"7D, 8, 7B, 7A",Buse rouilleuse,Buteo regalis,Alberta,Lock-on bands recommended. | Bagues enclenchantes recommandées.,268
,,,,,,Manitoba,,
,,,,,,Saskatchewan,,
3490,GOEA,Golden Eagle,"9, 9A, 9C",Aigle royal,Aquila chrysaetos,,Rivet bands only. | Bagues à rivet seulement.,270
3520,BAEA,Bald Eagle,"9, 8A, 9A",Pygargue à tête blanche,Haliaeetus leucocephalus,,Rivet bands only. | Bagues à rivet seulement.,247
3540,GYRF,Gyrfalcon,7B,Faucon gerfaut,Falco rusticolus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,631
3550,PRFA,Prairie Falcon,"M: 6, 7A, 5",Faucon des prairies,Falco mexicanus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,633
,,,"F: 7A, 7B, 6",,,,,
3560,PEFA,Peregrine Falcon,"M: 6, 7A",Faucon pèlerin,Falco peregrinus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,632
,,,"F: 7A, 7B",,,,,
3570,MERL,Merlin,"M: 3, 3B, 3A",Faucon émerillon,Falco columbarius,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,629
,,,"F: 4, 3A, 3B",,,,,
3590,APFA,Aplomado Falcon,M: 4,Faucon aplomado,Falco femoralis,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,630
,,,F: 5,,,,,
3591,EUKE,Eurasian Kestrel,"3B, 4",Faucon crécerelle,Falco tinnunculus,,,627
3600,AMKE,American Kestrel,"3B, 3A, 3",Crécerelle d'Amérique,Falco sparverius,,,628
3620,CRCA,Crested Caracara,"7A, 7B",Caracara du Nord,Caracara plancus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,625
3621,ACCA,Audubon's Crested Caracara,"7A, 7B",,Caracara plancus audubonii,Y,Endangered population in Florida. Lock-on bands recommended. | Population menacée en Floride. Bagues enclenchantes recommandées.,626
3640,OSPR,Osprey,"8, 7D",Balbuzard pêcheur,Pandion haliaetus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,241
3650,ABOW,American Barn Owl,"6, 7A",Effraie d'Amérique,Tyto furcata,British Columbia,"From Barn Owl split, AOS 65th Supplement (2024)",508
,,,,,,Ontario,,
,,,,,,Québec,,
3651,AFOW,Ashy-faced Owl,"6, 7A",Effraie d'Hispaniola,Tyto glaucops,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,509
3660,LEOW,Long-eared Owl,"6, 5",Hibou moyen-duc,Asio otus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,529
3670,SEOW,Short-eared Owl,6,Hibou des marais,Asio flammeus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,530
3680,BAOW,Barred Owl,"7B, 7D",Chouette rayée,Strix varia,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,527
3686,SBOH,Spotted X Barred Owl Hybrid,7B,Hybride de Chouette tachetée et Chouette rayée,,,Lock-on bands recommended. Strix occidentalis X S. varia. | Bagues enclenchantes recommandées. Strix occidentalis X S. varia. ,523
3690,USOW,Unspecified Spotted Owl,7B,Chouette tachetée,Strix occidentalis,British Columbia,To be used for Spotted Owls when subspecies cannot be determined,522
3691,CSOW,California Spotted Owl,"7B, 7A",Chouette tachetée (Californie),Strix occidentalis occidentalis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,524
3692,NSOW,Northern Spotted Owl,"7B, 7A",Chouette tachetée de la sous-espèce caurina,Strix occidentalis caurina,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,525
3693,MSOW,Mexican Spotted Owl,"7B, 7A",,Strix occidentalis lucida,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,526
3700,GGOW,Great Gray Owl,8,Chouette lapone,Strix nebulosa,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,528
3710,BOOW,Boreal Owl,"5, 6",Nyctale de Tengmalm,Aegolius funereus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,531
3720,NSWO,Northern Saw-whet Owl,"4, 3A, 4A",Petite Nyctale,Aegolius acadicus,British Columbia,Use 4 (or 4A if needed) short. | Utilisez 4 courte (ou 4A si nécessaire).,532
3730,EASO,Eastern Screech-Owl,"5, 4A, 4",Petit-duc maculé,Megascops asio,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,512
3731,WHSO,Whiskered Screech-Owl,"4, 3A",Petit-duc à moustaches,Megascops trichopsis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,513
3732,WESO,Western Screech-Owl,"5, 4A, 4",Petit-duc des montagnes,Megascops kennicottii,British Columbia,Lock-on bands recommended. | Bagues enclenchantes recommandées.,511
3734,PURO,Puerto Rican Owl,"4, 4A",Petit-duc de Porto Rico,Gymnasio nudipes,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,514
3740,FLOW,Flammulated Owl,"3, 3B, 2",Petit-duc nain,Psiloscops flammeolus,,,510
3750,GHOW,Great Horned Owl,"8, 8A, 9, 7D",Grand-duc d'Amérique,Bubo virginianus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,515
3760,SNOW,Snowy Owl,"8A, 8, 9",Harfang des neiges,Bubo scandiacus,,Rivet or Lock-on bands recommended. | Bagues à rivet ou enclenchantes recommandées.,516
3770,NHOW,Northern Hawk Owl,"7A, 7B",Épervière boréale,Surnia ulula,,Require 7A or 7B short. | Nécessite 7A ou 7B courte.,517
3780,BUOW,Burrowing Owl,4,Chevêche des terriers,Athene cunicularia,Alberta,Lock-on bands recommended. | Bagues enclenchantes recommandées.,521
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,Saskatchewan,,
3790,NOPO,Northern Pygmy-Owl,"3, 3B, 3A, 4",Chevêchette naine,Glaucidium gnoma,,,518
